IGM HI transmissions exp(-tau) (HeI and HeII not included!). Please
reference: Meiksin A., 2005, MNRAS, 365, 807 in any publications using these results.
-------------------------------------------------------------------------------------
lam (A)  z=1.5    z=2.0    z=2.5    z=3.0    z=3.5    z=4.0    z=4.5    z=5.0    z=5.5    z=6.0    z=6.5    z=7.0
1864.0 0.376896 0.155386 0.069848 0.033002 0.016083 0.007999 0.004033 0.002054 0.001053 0.000543 0.000281 0.000146
1865.0 0.377418 0.155457 0.069825 0.032969 0.016057 0.007981 0.004022 0.002047 0.001049 0.000541 0.000280 0.000145
1866.0 0.377943 0.155528 0.069803 0.032936 0.016030 0.007963 0.004011 0.002040 0.001045 0.000538 0.000278 0.000144
1867.0 0.378469 0.155600 0.069781 0.032903 0.016004 0.007945 0.003999 0.002033 0.001041 0.000536 0.000277 0.000143
1868.0 0.378998 0.155673 0.069759 0.032870 0.015978 0.007927 0.003988 0.002026 0.001037 0.000533 0.000275 0.000143
1869.0 0.379529 0.155746 0.069738 0.032837 0.015951 0.007909 0.003977 0.002019 0.001033 0.000531 0.000274 0.000142
1870.0 0.380062 0.155820 0.069716 0.032804 0.015925 0.007891 0.003965 0.002012 0.001029 0.000529 0.000273 0.000141
1871.0 0.380597 0.155894 0.069695 0.032771 0.015899 0.007874 0.003954 0.002006 0.001025 0.000526 0.000271 0.000140
1872.0 0.381134 0.155968 0.069674 0.032738 0.015873 0.007856 0.003943 0.001999 0.001020 0.000524 0.000270 0.000140
1873.0 0.381673 0.156043 0.069653 0.032706 0.015847 0.007838 0.003932 0.001992 0.001016 0.000521 0.000269 0.000139
1874.0 0.382215 0.156119 0.069633 0.032673 0.015821 0.007821 0.003921 0.001985 0.001012 0.000519 0.000267 0.000138
1875.0 0.382758 0.156195 0.069612 0.032641 0.015796 0.007803 0.003910 0.001978 0.001008 0.000517 0.000266 0.000137
1876.0 0.383304 0.156271 0.069592 0.032609 0.015770 0.007786 0.003899 0.001972 0.001004 0.000514 0.000265 0.000136
1877.0 0.383852 0.156348 0.069572 0.032577 0.015744 0.007768 0.003888 0.001965 0.001001 0.000512 0.000263 0.000136
1878.0 0.384402 0.156426 0.069552 0.032545 0.015719 0.007751 0.003877 0.001958 0.000997 0.000510 0.000262 0.000135
1879.0 0.384955 0.156504 0.069532 0.032513 0.015693 0.007734 0.003866 0.001952 0.000993 0.000508 0.000261 0.000134
1880.0 0.385509 0.156583 0.069512 0.032481 0.015668 0.007717 0.003855 0.001945 0.000989 0.000505 0.000259 0.000133
1881.0 0.386066 0.156662 0.069493 0.032449 0.015642 0.007699 0.003844 0.001939 0.000985 0.000503 0.000258 0.000133
1882.0 0.386625 0.156742 0.069474 0.032418 0.015617 0.007682 0.003833 0.001932 0.000981 0.000501 0.000257 0.000132
1883.0 0.387187 0.156822 0.069455 0.032386 0.015592 0.007665 0.003823 0.001926 0.000977 0.000499 0.000255 0.000131
1884.0 0.387750 0.156903 0.069436 0.032355 0.015567 0.007648 0.003812 0.001919 0.000973 0.000496 0.000254 0.000131
1885.0 0.388316 0.156984 0.069417 0.032324 0.015542 0.007631 0.003801 0.001913 0.000969 0.000494 0.000253 0.000130
1886.0 0.388884 0.157066 0.069399 0.032292 0.015517 0.007614 0.003790 0.001906 0.000966 0.000492 0.000252 0.000129
1887.0 0.389454 0.157148 0.069380 0.032261 0.015492 0.007597 0.003780 0.001900 0.000962 0.000490 0.000250 0.000128
1888.0 0.390027 0.157230 0.069362 0.032230 0.015467 0.007581 0.003769 0.001893 0.000958 0.000487 0.000249 0.000128
1889.0 0.390602 0.157314 0.069344 0.032199 0.015442 0.007564 0.003759 0.001887 0.000954 0.000485 0.000248 0.000127
1890.0 0.391179 0.157398 0.069327 0.032169 0.015417 0.007547 0.003748 0.001881 0.000951 0.000483 0.000247 0.000126
1891.0 0.391759 0.157482 0.069309 0.032138 0.015393 0.007530 0.003738 0.001874 0.000947 0.000481 0.000245 0.000126
1892.0 0.392340 0.157567 0.069292 0.032108 0.015368 0.007514 0.003727 0.001868 0.000943 0.000479 0.000244 0.000125
1893.0 0.392924 0.157652 0.069274 0.032077 0.015343 0.007497 0.003717 0.001862 0.000939 0.000477 0.000243 0.000124
1894.0 0.393511 0.157738 0.069257 0.032047 0.015319 0.007481 0.003707 0.001855 0.000936 0.000475 0.000242 0.000123
1895.0 0.394100 0.157825 0.069241 0.032016 0.015295 0.007464 0.003696 0.001849 0.000932 0.000472 0.000240 0.000123
1896.0 0.394691 0.157911 0.069224 0.031986 0.015270 0.007448 0.003686 0.001843 0.000928 0.000470 0.000239 0.000122
1897.0 0.395284 0.157999 0.069207 0.031956 0.015246 0.007431 0.003676 0.001837 0.000925 0.000468 0.000238 0.000121
1898.0 0.395880 0.158087 0.069191 0.031926 0.015222 0.007415 0.003665 0.001831 0.000921 0.000466 0.000237 0.000121
1899.0 0.396478 0.158176 0.069175 0.031896 0.015198 0.007399 0.003655 0.001825 0.000918 0.000464 0.000236 0.000120
1900.0 0.397079 0.158265 0.069159 0.031867 0.015174 0.007382 0.003645 0.001818 0.000914 0.000462 0.000234 0.000119
1901.0 0.397682 0.158354 0.069143 0.031837 0.015150 0.007366 0.003635 0.001812 0.000910 0.000460 0.000233 0.000119
1902.0 0.398287 0.158445 0.069128 0.031807 0.015126 0.007350 0.003625 0.001806 0.000907 0.000458 0.000232 0.000118
1903.0 0.398895 0.158535 0.069113 0.031778 0.015102 0.007334 0.003615 0.001800 0.000903 0.000456 0.000231 0.000117
1904.0 0.399505 0.158626 0.069097 0.031748 0.015078 0.007318 0.003605 0.001794 0.000900 0.000454 0.000230 0.000117
1905.0 0.400118 0.158718 0.069082 0.031719 0.015055 0.007302 0.003595 0.001788 0.000896 0.000452 0.000229 0.000116
1906.0 0.400733 0.158811 0.069068 0.031690 0.015031 0.007286 0.003585 0.001782 0.000893 0.000450 0.000228 0.000115
1907.0 0.401350 0.158903 0.069053 0.031661 0.015007 0.007270 0.003575 0.001776 0.000889 0.000448 0.000226 0.000115
1908.0 0.401971 0.158997 0.069039 0.031632 0.014984 0.007254 0.003565 0.001770 0.000886 0.000446 0.000225 0.000114
1909.0 0.402593 0.159091 0.069024 0.031603 0.014961 0.007239 0.003555 0.001764 0.000882 0.000444 0.000224 0.000114
1910.0 0.403218 0.159185 0.069010 0.031574 0.014937 0.007223 0.003545 0.001758 0.000879 0.000442 0.000223 0.000113
1911.0 0.403845 0.159280 0.068996 0.031546 0.014914 0.007207 0.003535 0.001753 0.000876 0.000440 0.000222 0.000112
1912.0 0.404475 0.159376 0.068983 0.031517 0.014891 0.007191 0.003526 0.001747 0.000872 0.000438 0.000221 0.000112
1913.0 0.405107 0.159472 0.068969 0.031489 0.014867 0.007176 0.003516 0.001741 0.000869 0.000436 0.000220 0.000111
1914.0 0.405742 0.159569 0.068956 0.031460 0.014844 0.007160 0.003506 0.001735 0.000865 0.000434 0.000219 0.000110
1915.0 0.406380 0.159666 0.068943 0.031432 0.014821 0.007145 0.003496 0.001729 0.000862 0.000432 0.000218 0.000110
1916.0 0.407020 0.159764 0.068930 0.031404 0.014798 0.007129 0.003487 0.001724 0.000859 0.000430 0.000216 0.000109
1917.0 0.407662 0.159862 0.068917 0.031376 0.014775 0.007114 0.003477 0.001718 0.000855 0.000428 0.000215 0.000109
